TIME,UNITS,present,#24 hrs 40kw division,case1,nyt addition,case2,4division,case3
21,232366,5,3,8,,5,1.68,6.68
22,232371,5.0000000000291,1,6.0000000000291,,5.0000000000291,1.68,6.6800000000291
23,232376,4.9999999999709,1,5.9999999999709,5.544,10.5439999999709,1.68,6.6799999999709
24,232381,2,2,4,5.544,7.544,1.68,3.68
1,232383,2,1,3,5.544,7.544,1.68,3.68
2,232385,3.0000000000291,2,5.0000000000291,5.544,8.5440000000291,1.68,4.6800000000291
3,232388,2.9999999999709,4,6.9999999999709,5.544,8.5439999999709,1.68,4.6799999999709
4,232391,0,2,2,5.544,5.544,1.68,1.68
5,232391,0,4,4,5.544,5.544,1.68,1.68
6,232391,0,0,0,5.544,5.544,1.68,1.68
7,232391,32.9999999999709,1,33.9999999999709,,32.9999999999709,1.68,34.6799999999709
8,232424,8.0000000000291,3,11.0000000000291,,8.0000000000291,1.68,9.6800000000291
9,232432,8,2,10,,8,1.68,9.68
10,232440,8.9999999999709,2,10.9999999999709,,8.9999999999709,1.68,10.6799999999709
11,232449,10.0000000000291,4,14.0000000000291,,10.0000000000291,1.68,11.6800000000291
12,232459,6,0,6,,6,1.68,7.68
13,232465,10,1,11,,10,1.68,11.68
14,232475,8,3,11,,8,1.68,9.68
15,232483,5.0000000000291,3,8.0000000000291,,5.0000000000291,1.68,6.6800000000291
16,232488,9.9999999999709,0,9.9999999999709,,9.9999999999709,1.68,11.6799999999709
17,232498,7,4,11,,7,1.68,8.68
18,232505,5,3,8,,5,1.68,6.68
19,232510,5,3,8,,5,1.68,6.68
20,232515,5,3,8,,5,1.68,6.68
21,232520,3,1,4,,3,1.68,4.68
22,232523,4,4,8,,4,1.68,5.68
23,232527,5,3,8,5.544,10.544,1.68,6.68
24,232532,3,4,7,5.544,8.544,1.68,4.68
1,232535,3.0000000000291,3,6.0000000000291,5.544,8.5440000000291,1.68,4.6800000000291
2,232538,2.9999999999709,0,2.9999999999709,5.544,8.5439999999709,1.68,4.6799999999709
3,232541,3,0,3,5.544,8.544,1.68,4.68
4,232544,6,4,10,5.544,11.544,1.68,7.68
5,232550,5,1,6,5.544,10.544,1.68,6.68
6,232555,6.0000000000291,4,10.0000000000291,5.544,11.5440000000291,1.68,7.6800000000291
7,232561,5.9999999999709,4,9.9999999999709,,5.9999999999709,1.68,7.6799999999709
8,232567,4.9999999999709,1,5.9999999999709,,4.9999999999709,1.68,6.6799999999709
